campaign fb,filename,persoanl fb,id
['https://www.facebook.com/MatlockForSenate'],Brian_Matlock.csv,https://www.facebook.com/brian.matlock.7,brian.matlock.7
['https://www.facebook.com/derbyforcongress'],David_Derby.csv,https://www.facebook.com/profile.php?id=100079491728535,100079491728535
['https://www.facebook.com/Victoria4VA'],Victoria_Virasingh.csv,https://www.facebook.com/profile.php?id=695211800,695211800
[],Dean_Browning.csv,https://www.facebook.com/browning.dean,browning.dean
"['https://www.facebook.com/Dr-Winnie-Heartstrong-for-Congress-106862757597667/', 'https://www.facebook.com/realdrwinnie/']",Winnie_Heartstrong.csv,https://www.facebook.com/winnieheartstrong,winnieheartstrong
['https://www.facebook.com/geterforsenate'],Angela_Geter.csv,https://www.facebook.com/ageter1,ageter1
['https://www.facebook.com/jeffesmus/'],Jeff_Esmus.csv,https://www.facebook.com/jeffreyesmus99,jeffreyesmus99
[],Reba_Hawkins.csv,https://www.facebook.com/reba.hawkins.12,reba.hawkins.12
[],Wadi_Yakhour.csv,https://www.facebook.com/yakhour,yakhour
['https://www.facebook.com/WendieForMT'],Wendie_Fredrickson.csv,https://www.facebook.com/WendieAFredrickson,WendieAFredrickson
[],Kevin_Garcia.csv,https://www.facebook.com/KevinGarcia91/,KevinGarcia91/
['https://www.facebook.com/byrondonalds/'],Byron_Donalds.csv,https://www.facebook.com/bdonalds,bdonalds
['https://www.facebook.com/MurphyForWI/'],Adam_Murphy.csv,https://www.facebook.com/adam.murphy.545,adam.murphy.545
[],Jacqueline_Collins.csv,https://www.facebook.com/jacqueline.collins.5458,jacqueline.collins.5458
['https://www.facebook.com/MontalvoForCongress/'],Angel_Montalvo.csv,https://www.facebook.com/angel.montalvo.miami,angel.montalvo.miami
['https://www.facebook.com/AverhartForCongress/'],James_Averhart.csv,https://www.facebook.com/james.averhart.35,james.averhart.35
[],Jared_Craig.csv,https://www.facebook.com/JBCraiglaw,JBCraiglaw
['https://www.facebook.com/casperforcolorado/'],Casper_Stockham.csv,https://www.facebook.com/casper.stockham,casper.stockham
['https://www.facebook.com/VoteForSass'],James_Sasinowski.csv,https://www.facebook.com/jman722,jman722
['https://www.facebook.com/reneeunterman/'],Renee_Unterman.csv,https://www.facebook.com/voterenee,voterenee
['https://www.facebook.com/mayatcontreras'],Maya_Contreras.csv,https://www.facebook.com/maya.contreras.18,maya.contreras.18
['https://www.facebook.com/KaceyForSenate/'],Kacey_Morgan.csv,https://www.facebook.com/KaceTheFace,KaceTheFace
[],Jonathan_Welch.csv,https://www.facebook.com/Jonathan-Welch-District-2-School-Board-398710800168861/timeline,Jonathan-Welch-District-2-School-Board-398710800168861/timeline
['https://www.facebook.com/GalloforCongress'],Vincent_Gallo.csv,https://www.facebook.com/profile.php?id=100075281108607,100075281108607
['https://www.facebook.com/profile.php?id=100075995374407'],Mike_Craven.csv,https://www.facebook.com/mike.craven.9216778,mike.craven.9216778
['https://www.facebook.com/Jen4SenNC/'],Jennifer_Banwart.csv,https://www.facebook.com/jennifer.banwart.1,jennifer.banwart.1
['https://www.facebook.com/justin4all/'],Justin_Paglino.csv,https://www.facebook.com/justin.paglino,justin.paglino
['https://www.facebook.com/TomKeanPolitical'],Thomas_Kean.csv,https://www.facebook.com/tomkean,tomkean
[],Jeanne_Nigro.csv,https://www.facebook.com/jeanne.nigro,jeanne.nigro
['https://www.facebook.com/eastmanforcongress'],Kara_Eastman.csv,https://www.facebook.com/karaheastman,karaheastman
['https://www.facebook.com/OlikaraforSenate/'],Steven_Olikara.csv,https://www.facebook.com/steven.olikara,steven.olikara
['https://www.facebook.com/jayadkinsforcongress/'],Jay_Adkins.csv,https://www.facebook.com/jay.adkins.58,jay.adkins.58
['https://www.facebook.com/EverettSternFan'],Everett_Stern.csv,https://www.facebook.com/everett.stern,everett.stern
['https://www.facebook.com/GinoForSenate'],Gino_Campana.csv,https://www.facebook.com/gino.campana.7,gino.campana.7
['https://www.facebook.com/julialetlow/'],Julia_Letlow.csv,https://www.facebook.com/julia.barnhill,julia.barnhill
['https://www.facebook.com/jacksonrlahmeyer'],Jackson_Lahmeyer.csv,https://www.facebook.com/JacksonRhodesLahmeyer/,JacksonRhodesLahmeyer/
[],Audun_Mikkelson.csv,https://www.facebook.com/audun.mikkelson.7,audun.mikkelson.7
['https://www.facebook.com/troyc4congress'],Troy_Carter.csv,https://www.facebook.com/troy.c.carter.7,troy.c.carter.7
['https://www.facebook.com/huntforgovernor'],Andrew_Hunt.csv,https://www.facebook.com/huntforgovernor,huntforgovernor
['https://www.facebook.com/FriendsofDonBeyer'],Donald_Beyer.csv,https://www.facebook.com/donald.s.beyer.1,donald.s.beyer.1
['https://www.facebook.com/meetmckayla'],Mckayla_Wilkes.csv,https://www.facebook.com/mckayla.wilkes.73,mckayla.wilkes.73
['https://www.facebook.com/TurnerWV'],Hilary_Turner.csv,https://www.facebook.com/hilary.turner.79,hilary.turner.79
[],Roger_Day.csv,https://www.facebook.com/roger.day.737,roger.day.737
[],Jarrod_Lykins.csv,https://www.facebook.com/profile.php?id=100076331952758,100076331952758
['https://www.facebook.com/JoaquinCastro4Congress'],Joaquin_Castro.csv,https://www.facebook.com/joaquin.castro.142,joaquin.castro.142
[],Angela_Roman.csv,https://www.facebook.com/angela.sandwiches,angela.sandwiches
['https://www.facebook.com/DrBaumlinforPA'],Kevin_Baumlin.csv,https://www.facebook.com/kevin.baumlin.52,kevin.baumlin.52
['https://www.facebook.com/kuster'],Ann_Kuster.csv,https://www.facebook.com/annie.kuster.7,annie.kuster.7
"['https://www.facebook.com/lucasforcongress/', 'https://www.facebook.com/lucasforcongress/']",Conrad_Lucas.csv,https://www.facebook.com/conradlucas,conradlucas
